timestamp,sport,game,home_team,away_team,bet_type,bet_side,line,edge_pct,confidence,signals,suggested_bet,implied_prob,true_prob,reasoning,game_id,sport_key,outcome,profit_loss,notes
2026-05-27 22:11 ET,MLB,Atlanta Braves @ Boston Red Sox,Boston Red Sox,Atlanta Braves,moneyline,away,-137,12.1,35,rest_disadvantage + model_edge,50.0,57.8,69.9,Edge 12.1% on Atlanta Braves moneyline. Boston Red Sox on back-to-back -- fatigue factor. Power rating: Boston Red Sox wp=42.6% / Atlanta Braves wp=66.1% — Atlanta Braves underpriced (model 69.9% vs mkt 57.8%).,espn_401815530,baseball_mlb,P,0.0,
2026-05-27 22:11 ET,MLB,Chicago Cubs @ Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,moneyline,away,+144,7.8,35,rest_disadvantage + model_edge,33.0,41.0,48.8,Edge 7.8% on Chicago Cubs moneyline. Pittsburgh Pirates on back-to-back -- fatigue factor. Power rating: Pittsburgh Pirates wp=51.8% / Chicago Cubs wp=53.6% — Chicago Cubs underpriced (model 48.8% vs mkt 41.0%).,espn_401815531,baseball_mlb,P,0.0,
2026-05-28 22:17 ET,MLB,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,moneyline,home,+102,16.3,35,rest_disadvantage + model_edge,50.0,49.5,65.8,Edge 16.3% on Chicago White Sox moneyline. Chicago White Sox on back-to-back -- fatigue factor. Power rating: Chicago White Sox wp=51.8% / Detroit Tigers wp=38.6% — Chicago White Sox underpriced (model 65.8% vs mkt 49.5%).,espn_401815543,baseball_mlb,P,0.0,
2026-05-29 03:47 ET,MLB,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,moneyline,home,-101,15.6,60,sharp_money + rest_disadvantage + model_edge,50.0,50.2,65.8,Edge 15.6% on Chicago White Sox moneyline. ML moved 203 pts on Chicago White Sox (+102→-101) — steam toward Chicago White Sox. Chicago White Sox on back-to-back -- fatigue factor.,espn_401815543,baseball_mlb,P,0.0,
2026-05-29 22:11 ET,MLB,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,moneyline,home,+104,16.8,35,rest_disadvantage + model_edge,50.0,49.0,65.8,Edge 16.8% on Chicago White Sox moneyline. Chicago White Sox on back-to-back -- fatigue factor. Power rating: Chicago White Sox wp=51.8% / Detroit Tigers wp=38.6% — Chicago White Sox underpriced (model 65.8% vs mkt 49.0%).,espn_401815558,baseball_mlb,P,0.0,
2026-05-29 22:11 ET,MLB,Los Angeles Angels @ Tampa Bay Rays,Tampa Bay Rays,Los Angeles Angels,moneyline,home,-156,16.6,35,rest_disadvantage + model_edge,50.0,60.9,77.5,Edge 16.6% on Tampa Bay Rays moneyline. Tampa Bay Rays on back-to-back -- fatigue factor. Power rating: Tampa Bay Rays wp=64.8% / Los Angeles Angels wp=37.9% — Tampa Bay Rays underpriced (model 77.5% vs mkt 60.9%).,espn_401815550,baseball_mlb,P,0.0,
2026-05-30 22:37 ET,MLB,Boston Red Sox @ Cleveland Guardians,Cleveland Guardians,Boston Red Sox,moneyline,home,-105,15.8,35,rest_disadvantage + model_edge,50.0,51.2,67.0,Edge 15.8% on Cleveland Guardians moneyline. Cleveland Guardians on back-to-back -- fatigue factor. Power rating: Cleveland Guardians wp=56.7% / Boston Red Sox wp=42.1% — Cleveland Guardians underpriced (model 67.0% vs mkt 51.2%).,espn_401815567,baseball_mlb,P,0.0,
2026-05-30 22:37 ET,MLB,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,moneyline,home,-131,11.8,35,rest_disadvantage + model_edge,50.0,56.7,68.5,Edge 11.8% on Chicago White Sox moneyline. Chicago White Sox on back-to-back -- fatigue factor. Power rating: Chicago White Sox wp=53.4% / Detroit Tigers wp=37.3% — Chicago White Sox underpriced (model 68.5% vs mkt 56.7%).,espn_401815573,baseball_mlb,P,0.0,
2026-05-31 22:47 ET,MLB,San Francisco Giants @ Milwaukee Brewers,Milwaukee Brewers,San Francisco Giants,moneyline,home,-143,16.0,35,rest_disadvantage + model_edge,50.0,58.9,74.8,Edge 16.0% on Milwaukee Brewers moneyline. Milwaukee Brewers on back-to-back -- fatigue factor. Power rating: Milwaukee Brewers wp=62.5% / San Francisco Giants wp=39.0% — Milwaukee Brewers underpriced (model 74.8% vs mkt 58.9%).,espn_401815584,baseball_mlb,P,0.0,
2026-05-31 22:47 ET,MLB,Chicago White Sox @ Minnesota Twins,Minnesota Twins,Chicago White Sox,moneyline,away,+141,14.7,35,rest_disadvantage + model_edge,50.0,41.5,56.2,Edge 14.7% on Chicago White Sox moneyline. Minnesota Twins on back-to-back -- fatigue factor. Power rating: Minnesota Twins wp=45.0% / Chicago White Sox wp=54.2% — Chicago White Sox underpriced (model 56.2% vs mkt 41.5%).,espn_401815583,baseball_mlb,P,0.0,
